waveform	[0]	[1]	[2]
t0	2023-02-25  12:35:45.046400	2023-02-25  12:35:45.046400	2023-02-25  12:35:45.046400
delta t	4.980000E-5	4.980000E-5	4.980000E-5

time	Y[0]	Y[1]	Y[2]
2023-02-25  12:35:45.051629	4.516602E+1	7.934570E-2	5.294189E+1
2023-02-25  12:35:45.051679	4.490967E+1	3.662109E-2	5.297241E+1
2023-02-25  12:35:45.051729	4.506226E+1	3.051758E-2	5.300903E+1
2023-02-25  12:35:45.051779	4.519043E+1	4.272461E-2	5.297241E+1
2023-02-25  12:35:45.051828	4.517212E+1	6.713867E-2	5.302734E+1
2023-02-25  12:35:45.051878	4.513550E+1	6.103516E-2	5.312500E+1
2023-02-25  12:35:45.051928	4.501953E+1	4.882812E-2	5.294800E+1
2023-02-25  12:35:45.051978	4.501953E+1	7.934570E-2	5.299072E+1
2023-02-25  12:35:45.052028	4.518433E+1	6.713867E-2	5.317383E+1
2023-02-25  12:35:45.052077	4.519653E+1	6.713867E-2	5.294189E+1
2023-02-25  12:35:45.052127	4.506226E+1	3.662109E-2	5.330811E+1
2023-02-25  12:35:45.052177	4.512939E+1	3.662109E-2	5.294800E+1
2023-02-25  12:35:45.052227	4.504395E+1	4.882812E-2	5.305176E+1
2023-02-25  12:35:45.052277	4.509277E+1	4.882812E-2	5.311279E+1
2023-02-25  12:35:45.052326	4.510498E+1	6.713867E-2	5.290527E+1
2023-02-25  12:35:45.052376	4.508057E+1	7.324219E-2	5.302124E+1
2023-02-25  12:35:45.052426	4.514771E+1	1.220703E-1	5.310059E+1
2023-02-25  12:35:45.052476	4.508057E+1	4.272461E-2	5.299072E+1
2023-02-25  12:35:45.052526	4.514771E+1	6.713867E-2	5.322876E+1
2023-02-25  12:35:45.052575	4.505005E+1	5.493164E-2	5.298462E+1
2023-02-25  12:35:45.052625	4.495239E+1	5.493164E-2	5.306396E+1
2023-02-25  12:35:45.052675	4.508667E+1	3.051758E-2	5.296021E+1
2023-02-25  12:35:45.052725	4.493408E+1	5.493164E-2	5.301514E+1
2023-02-25  12:35:45.052775	4.508667E+1	6.103516E-2	5.303955E+1
2023-02-25  12:35:45.052824	4.504395E+1	7.934570E-2	5.302734E+1
2023-02-25  12:35:45.052874	4.514160E+1	6.103516E-2	5.295410E+1
2023-02-25  12:35:45.052924	4.492798E+1	6.713867E-2	5.297852E+1
2023-02-25  12:35:45.052974	4.498901E+1	6.713867E-2	5.300903E+1
2023-02-25  12:35:45.053024	4.506836E+1	6.103516E-2	5.307007E+1
2023-02-25  12:35:45.053073	4.507446E+1	7.324219E-2	5.301514E+1
2023-02-25  12:35:45.053123	4.503784E+1	5.493164E-2	5.300903E+1
2023-02-25  12:35:45.053173	4.497070E+1	6.713867E-2	5.303345E+1
2023-02-25  12:35:45.053223	4.500122E+1	6.103516E-2	5.307007E+1
2023-02-25  12:35:45.053273	4.515381E+1	4.272461E-2	5.308838E+1
2023-02-25  12:35:45.053322	4.514160E+1	7.324219E-2	5.310669E+1
2023-02-25  12:35:45.053372	4.514771E+1	5.493164E-2	5.317383E+1
2023-02-25  12:35:45.053422	4.519043E+1	6.103516E-2	5.304565E+1
2023-02-25  12:35:45.053472	4.515991E+1	6.103516E-2	5.296021E+1
2023-02-25  12:35:45.053522	4.520264E+1	6.103516E-2	5.302124E+1
2023-02-25  12:35:45.053571	4.513550E+1	9.155273E-2	5.301514E+1
2023-02-25  12:35:45.053621	4.533081E+1	6.103516E-2	5.303955E+1
2023-02-25  12:35:45.053671	4.519653E+1	6.713867E-2	5.308838E+1
2023-02-25  12:35:45.053721	4.508057E+1	4.272461E-2	5.310059E+1
2023-02-25  12:35:45.053771	4.527588E+1	5.493164E-2	5.300903E+1
2023-02-25  12:35:45.053820	4.526367E+1	7.324219E-2	5.297852E+1
2023-02-25  12:35:45.053870	4.517822E+1	9.155273E-2	5.310059E+1
2023-02-25  12:35:45.053920	4.495239E+1	6.713867E-2	5.299683E+1
2023-02-25  12:35:45.053970	4.506226E+1	6.713867E-2	5.290527E+1
2023-02-25  12:35:45.054020	4.509888E+1	6.713867E-2	5.289307E+1
2023-02-25  12:35:45.054069	4.499512E+1	4.272461E-2	5.314331E+1
2023-02-25  12:35:45.054119	4.508057E+1	6.103516E-2	5.305176E+1
2023-02-25  12:35:45.054169	4.503784E+1	6.713867E-2	5.300903E+1
2023-02-25  12:35:45.054219	4.500732E+1	6.103516E-2	5.306396E+1
2023-02-25  12:35:45.054269	4.517212E+1	6.713867E-2	5.307007E+1
2023-02-25  12:35:45.054318	4.522705E+1	6.103516E-2	5.301514E+1
2023-02-25  12:35:45.054368	4.514160E+1	7.324219E-2	5.296021E+1
2023-02-25  12:35:45.054418	4.504395E+1	7.324219E-2	5.307617E+1
2023-02-25  12:35:45.054468	4.505615E+1	1.220703E-2	5.296631E+1
2023-02-25  12:35:45.054518	4.497681E+1	4.272461E-2	5.307007E+1
2023-02-25  12:35:45.054567	4.503784E+1	6.713867E-2	5.302124E+1
2023-02-25  12:35:45.054617	4.515381E+1	8.544922E-2	5.310669E+1
2023-02-25  12:35:45.054667	4.516602E+1	3.662109E-2	5.309448E+1
2023-02-25  12:35:45.054717	4.510498E+1	7.324219E-2	5.298462E+1
2023-02-25  12:35:45.054767	4.509277E+1	1.220703E-2	5.304565E+1
2023-02-25  12:35:45.054816	4.522095E+1	6.103516E-2	5.299072E+1
2023-02-25  12:35:45.054866	4.517212E+1	6.713867E-2	5.293579E+1
2023-02-25  12:35:45.054916	4.508667E+1	7.324219E-2	5.307617E+1
2023-02-25  12:35:45.054966	4.534912E+1	1.342773E-1	5.311279E+1
2023-02-25  12:35:45.055016	4.517822E+1	6.103516E-2	5.303955E+1
2023-02-25  12:35:45.055065	4.506836E+1	7.934570E-2	5.300903E+1
2023-02-25  12:35:45.055115	4.511719E+1	7.934570E-2	5.297241E+1
2023-02-25  12:35:45.055165	4.522705E+1	9.765625E-2	5.309448E+1
2023-02-25  12:35:45.055215	4.498901E+1	3.662109E-2	5.292358E+1
2023-02-25  12:35:45.055265	4.514771E+1	7.934570E-2	5.302734E+1
2023-02-25  12:35:45.055314	4.500732E+1	1.037598E-1	5.311279E+1
2023-02-25  12:35:45.055364	4.505005E+1	5.493164E-2	5.299072E+1
2023-02-25  12:35:45.055414	4.501953E+1	1.159668E-1	5.303345E+1
2023-02-25  12:35:45.055464	4.495850E+1	9.155273E-2	5.301514E+1
2023-02-25  12:35:45.055514	4.508057E+1	7.324219E-2	5.310059E+1
2023-02-25  12:35:45.055563	4.517212E+1	7.934570E-2	5.294189E+1
2023-02-25  12:35:45.055613	4.506836E+1	7.934570E-2	5.297241E+1
2023-02-25  12:35:45.055663	4.508057E+1	4.272461E-2	5.297241E+1
2023-02-25  12:35:45.055713	4.498901E+1	7.324219E-2	5.302124E+1
2023-02-25  12:35:45.055763	4.509277E+1	5.493164E-2	5.297241E+1
2023-02-25  12:35:45.055812	4.520264E+1	9.765625E-2	5.312500E+1
